text_a,label
接过芸哥儿的来，送了家去，交给平儿。,neutral
什么是廊上廊下的，你只说是芸儿就是了。,neutral
罢，罢，不用你们了。,angry
二爷仔细烫了，让我们来倒。,neutral
"你也是我这屋里的人么？""那丫头道：“是的。",neutral
"没脸的下流东西！正经叫你去催水去，你说有事故，倒叫我们去，你可等着做这个巧宗儿.一里一里的，这不上来了.难道我们倒跟不上你了？你也拿镜子照照，配递茶递水不配！""碧痕道：“明儿我说给他们，凡要茶要水送东送西的事，咱们都别动，只叫他去便是了。",angry
你安些分罢，何苦讨这个厌那个厌的。,angry
我的儿，你又吃多了酒，脸上滚热.你还只是柔搓，一会闹上酒来.还不在那里静静的倒一会子呢。,angry
老还是这么慌脚鸡似的，我说你上不得高台盘.赵姨娘时常也该教导教导他。,angry
有些疼，还不妨事.明儿老太太问，就说是我自己烫的罢了。,neutral
我瞧瞧烫了那里了，有什么遮着藏着的。,surprise
"前日我送了五百钱去，在药王跟前上供，你可收了没有？""马道婆道：“早已替你上了供了。",neutral
这不又来了一个。,surprise
你们听听，这是吃了他们家一点子茶叶，就来使唤人了。,surprise
颦儿急了，还不回来坐着.走了倒没意思。,angry
"好头疼！""林黛玉道：“该，阿弥陀佛！""只见宝玉大叫一声：“我要死！""将身一纵，离地跳有四尺高，口内乱嚷乱叫，说起胡话来了.林黛玉并丫头们都唬慌了，忙去报知王夫人，贾母等.此时王子腾的夫人也在这里，都一齐来时，宝玉益发拿刀弄杖，寻死觅活的，闹得天翻地覆.贾母，王夫人见了，唬的抖衣而颤，且儿萍，薛姨妈，薛蟠并周瑞家的一干家上上下下里里外外众媳妇丫头等，都来园内看视.登时园内乱麻一般.正没个主见，只见凤姐持一把明晃晃钢刀砍进园来，见鸡杀鸡，见狗杀狗，见人就要杀人.众人越发慌了.周瑞媳妇忙带着几个有力量的胆壮的婆娘上去抱住，夺下刀来，抬回房去.平儿，丰儿等哭的泪天泪地.贾政等心也有些烦难，顾了这里，丢不下那里.",fear
儿女之数，皆由天命，非人力可强者.他二人之病出于不意，百般医治不效，想天意该如此，也只好由他们去罢。,sad
你道友二人在那庙里焚修。,neutral
此物已灵，不可亵渎，悬于卧室上槛，将他二人安在一室之内，除亲身妻母外，不可使陰人冲犯.十日之后，包管身安病退，复旧如初。,neutral
"姐姐在屋里没有？""红玉闻听，在窗眼内望外一看，原来是本院的个小丫头名叫佳蕙的，因答说：“在家里，你进来罢。",neutral
"可也怨不得，这个地方难站.就象昨儿老太太因宝玉病了这些日子，说跟着伏侍的这些人都辛苦了，如今身上好了，各处还完了愿，叫把跟着的人都按着等儿赏他们.我们算年纪小，上不去，我也不抱怨，象你怎么也不算在里头？我心里就不服.袭人那怕他得十分儿，也不恼他，原该的.说良心话，谁还敢比他呢？别说他素日殷勤小心，便是不殷勤小心，也拼不得.可气晴雯，绮霰他们这几个，都算在上等里去，仗着老子娘的脸面，众人倒捧着他去.你说可气不可气？""红玉道：“也不犯着气他们.俗语说的好，`千里搭长棚，没有个不散的筵席，谁守谁一辈子呢？不过年五载，各人干各人的去了.那时谁还管谁呢？""这两句话不觉感动了佳蕙的心肠，由不得眼睛红了，又不好意思好端端的哭，只得勉强笑道：“你这话说的却是.昨儿宝玉还说，明儿怎么样收拾房子，怎么样做衣裳，倒象有几百年的熬煎。",angry
这是两个样子，叫你描出来呢。,neutral
怪道叫`怡红院，原来匾上是恁样四个字。,surprise
姐姐怎么替我倒起茶来.我来到叔叔这里，又不是客，让我自己倒罢。,neutral
你明儿闲了，只管来。,angry
"怎么又要睡觉？闷的很，你出去逛逛不是？""宝玉见说，便拉他的笑道：“我要去，只是舍不得你。",neutral
二叔叔在家里呢，我只当出门去了。,neutral
"`每日家情思睡昏昏.""宝玉听了，不觉心内痒将起来，再看时，只见黛玉在床上伸懒腰.宝玉在窗外笑道：“为甚么`每日家情思睡昏昏？""一面说，一面掀帘子进来了.",neutral
"妹妹睡觉呢，等醒了再请来.""刚说着，黛玉便翻身坐了起来，笑道：“谁睡觉呢。",neutral
"人家睡觉，你进来作什么？""宝玉见他星眼微饧，香腮带赤，不觉神魂早荡，一歪身坐在椅子上，笑道：“你才说什么？""黛玉道：“我没说什么。",neutral
紫鹃，把你们的好茶倒碗我吃。,neutral
要不说姨夫叫你，你那里出来的这么快。,surprise
"你提画儿，我才想起来.昨儿我看人家一张春宫，画的着实好.上面还有许多的字，也没细看，只看落的款，是`庚黄画的.真真的好的了不得！""宝玉听说，心下猜疑道：“古今字画也都见过些，那里有个`庚黄？""想了半天，不觉笑将起来，命人取过笔来，在心里写了两个字，又问薛蟠道：“你看真了是`庚黄？""薛蟠道：“怎么看不真！""宝玉将一撒，与他看道：“别是这两字罢？其实与`庚黄相去不远。",happy
且入席，有话慢慢的说。,neutral
人家牵肠挂肚的等着，你且高乐去，也到底打发人来给个信儿。,angry
"有事没事跑了来坐着，叫我们更半夜的不得睡觉！""忽听又有人叫门，晴雯越发动了气，也并不问是谁，便说道：“都睡下了，明儿再来罢！""林黛玉素知丫头们的情性，他们彼此顽耍惯了，恐怕院内的丫头没听真是他的声音，只当是别的丫头们来了，所以不开门，因而又高声说道：“是我，还不开么？""晴雯偏生还没听出来，便使性子说道：“凭你是谁，二爷吩咐的，一概不许放人进来呢！""林黛玉听了，不觉气怔在门外，待要高声问他，逗起气来，自己又回思一番：“虽说是舅母家如同自己家一样，到底是客边.如今父母双亡，无依无靠，现在他家依栖.如今认真淘气，也觉没趣。",angry
"林妹妹怎么不见？好个懒丫头！这会子还睡觉不成？""宝钗道：“你们等着，我去闹了他来。",angry
怪道从古至今那些奸滢狗盗的人，心都不错.这一开了，见我在这里，他们岂不臊了.况才说话的语音，大似宝玉房里的红儿的言语.他素昔眼空心大，是个头等刁钻古怪东西.今儿我听了他的短儿，一时人急造反，狗急跳墙，不但生事，而且我还没趣.如今便赶着躲了，料也躲不及，少不得要使个`金蝉脱壳的法子。,angry
"奶奶使唤作什么事？""凤姐打谅了一打谅，见他生的干净俏丽，说话知趣，因笑道：“我的丫头今儿没跟进我来.我这会子想起一件事来，要使唤个人出去，不知你能干不能干，说的齐全不齐全？""红玉笑道：“奶奶有什么话，只管吩咐我说去.若说的不齐全，误了奶奶的事，凭奶奶责罚就是了。",neutral
讨人嫌的很！得了玉的益似的，你也玉，我也玉。,angry
好妹妹，你昨儿可告我了不曾？教我悬了一夜心。,fear
宝哥哥，身上好？我整整的天没见你了。,happy
"你提起鞋来，我想起个故事：那一回我穿着，可巧遇见了老爷，老爷就不受用，问是谁作的.我那里敢提`妹妹个字，我就回说是前儿我生日，是舅母给的.老爷听了是舅母给的，才不好说什么，半日还说：`何苦来！虚耗人力，作践绫罗，作这样的东西.我回来告诉了袭人，袭人说这还罢了，赵姨娘气的抱怨的了不得：`正经兄弟，鞋搭拉袜搭拉的没人看的见，且作这些东西！""探春听说，登时沉下脸来，道：“这话糊涂到什么田地！怎么我是该作鞋的人么？环儿难道没有分例的，没有人的？一般的衣裳是衣裳，鞋袜是鞋袜，丫头老婆一屋子，怎么抱怨这些话！给谁听呢！我不过是闲着没事儿，作一双半双，爱给那个哥哥弟弟，随我的心.谁敢管我不成！这也是白气。",neutral
这是他心里生了气，也不收拾这花儿来了.待我送了去，明儿再问着他。,angry
"人人都笑我有些痴病，难道还有一个痴子不成？""想着，抬头一看，见是宝玉.林黛玉看见，便道：“啐！我道是谁，原来是这个狠心短命的……""刚说到""短命""二字，又把口掩住，长叹了一声，自己怞身便走了.",sad
你且站住.我知你不理我，我只说一句话，从今后撂开。,sad
我也知道我如今不好了，但只凭着怎么不好，万不敢在妹妹跟前有错处.便有一二分错处，你倒是或教导我，戒我下次，或骂我两句，打我两下，我都不灰心.谁知你总不理我，叫我摸不着头脑，少魂失魄，不知怎么样才好.就便死了，也是个屈死鬼，任凭高僧高道忏悔也不能超生，还得你申明了缘故，我才得托生呢！,sad
"你既这么说，昨儿为什么我去了，你不叫丫头开门？""宝玉诧异道：“这话从那里说起？我要是这么样，立刻就死了！""林黛玉啐道：“大清早起死呀活的，也不忌讳.你说有呢就有，没有就没有，起什么誓呢。",angry
"大姑娘，你吃那鲍太医的药可好些？""林黛玉道：“也不过这么着.老太太还叫我吃王大夫的药呢。",neutral
既有这个名儿，明儿就叫人买些来吃。,neutral
宝兄弟不是撒谎，这倒是有的.上日薛大哥亲自和我来寻珍珠，我问他作什么，他说配药.他还抱怨说，不配也罢了，如今那里知道这么费事.我问他什么药，他说是宝兄弟的方子，说了多少药，我也没工夫听.他说不然我也买几颗珍珠了，只是定要头上带过的，所以来和我寻.他说：`妹妹就没散的，花儿上也得，掐下来，过后儿我拣好的再给妹妹穿了来.我没法儿，把两枝珠花儿现拆了给他.还要了一块尺上用大红纱去，侞钵侞了隔面子呢。,surprise
"你听见了没有，难道二姐姐也跟着我撒谎不成？""脸望着黛玉说话，却拿眼睛パ，着宝钗.黛玉便拉王夫人道：“舅母听听，宝姐姐不替他圆谎，他支吾着我.""王夫人也道：“宝玉很会欺负你妹妹。",neutral
二哥哥，你成日家忙些什么？吃饭吃茶也是这么忙碌碌的。,angry
"哦，这是作什么呢？才吃了饭，这么空着头，一会子又头疼了.""黛玉并不理，只管裁他的.有一个丫头说道：“那块绸子角儿还不好呢，再熨他一熨。",neutral
冯大爷家请。,neutral
听我说来：如此滥饮，易醉而无味.我先喝一大海，发一新令，有不遵者，连罚十大海，逐出席外与人斟酒。,neutral
说得有理。,neutral
雨打梨花深闭门。,neutral
"我可要说了：女儿悲——""说了半日，不见说底下的.冯紫英笑道：“悲什么？快说来。",sad
"了不得，了不得！该罚，该罚！这席上又没有宝贝，你怎么念起宝贝来？""蒋玉菡怔了，说道：“何曾有宝贝？""薛蟠道：“你还赖呢！你再念来。",angry
闲了往我们那里去.还有一句话借问，也是你们贵班，有一个叫琪官的，他在那里？如今名驰天下，我独无缘一见。,neutral
这汗巾子是茜香国女国王所贡之物，夏天系着，肌肤生香，不生汗渍.昨日北静王给我的，今日才上身.若是别人，我断不肯相赠.二爷请把自己系的解下来，给我系着。,neutral
"往那里去了？""宝玉道：“马上丢了。",neutral
二奶奶打发人叫了红玉去了.他原要等你来的，我想什么要紧，我就作了主，打发他去了。,neutral
"我的东西叫你拣，你怎么不拣？""林黛玉昨日所恼宝玉的心事早又丢开，又顾今日的事了，因说道：“我没这么大福禁受，比不得宝姑娘，什么金什么玉的，我们不过是草木之人！""宝玉听他提出""金玉""二字来，不觉心动疑猜，便说道：“除了别人说什么金什么玉，我心里要有这个想头，天诛地灭，万世不得人身！""林黛玉听他这话，便知他心里动了疑，忙又笑道：“好没意思，白白的说什么誓？管你什么金什么玉的呢！""宝玉道：“我心里的事也难对你说，日后自然明白.除了老太太，老爷，太太这个人，第四个就是妹妹了.要有第五个人，我也说个誓。",neutral
不敢，是我失了.因为宝姐姐要看呆雁，我比给他看，不想失了。,fear
罢，罢，怪热的.什么没看过的戏，我就不去了。,angry
"还是这么高兴.""因打发人去到园里告诉：“有要逛的，只管初一跟了老太太逛去。",happy
这张爷爷进来请安。,neutral
我拿出盘子来一举两用，却不为化布施，倒要将哥儿的这玉请了下来，托出去给那些远来的道友并徒子徒孙们见识见识。,neutral
张爷爷送了玉来了。,neutral
"若论前日之事，竟是姑娘太浮躁了些。别人不知宝玉那脾气，难道咱们也不知道的。为那玉也不是闹了一遭两遭了。""黛玉啐道：“你倒来替人派我的不是。我怎么浮躁了？""紫鹃笑道：“好好的，为什么又剪了那穗子？岂不是宝玉只有分不是，姑娘倒有分不是。我看他素日在姑娘身上就好，皆因姑娘小性儿，常要歪派他，才这么样。",angry
"这是宝玉的声音，想必是来赔不是来了。""林黛玉听了道：“不许开门！""紫鹃道：“姑娘又不是了。这么热天毒日头地下，晒坏了他如何使得呢！""口里说着，便出去开门，果然是宝玉。一面让他进来，一面笑道：“我只当是宝二爷再不上我们这门了，谁知这会子又来了。""宝玉笑道：“你们把极小的事倒说大了。好好的为什么不来？我便死了，魂也要一日来一百遭。妹妹可大好了？""紫鹃道：“身上病好了，只是心里气不大好。""宝玉笑道：“我晓得有什么气。""一面说着，一面进来，只见林黛玉又在床上哭。",neutral
