"不用忙，不相干，这是急火攻心，血不归经。
",angry
"这些小和尚道士万不可打发到别处去，一时娘娘出来就要承应.倘或散了，若再用时，可是又费事.依我的主意，不如将他们竟送到咱们家庙里铁槛寺去，月间不过派一个人拿几两银子去买柴米就完了.说声用，走去叫来，一点儿不费事呢。
",neutral
"如今看来，芹儿倒大大的出息了，这件事竟交予他去管办.横竖照在里头的规例，每月叫芹儿支领就是了。
",neutral
"可是姐姐们都过来了，怎么不见？""邢夫人道：“他们坐了一会子，都往后头不知那屋里去了.""宝玉道：“大娘方才说有话说，不知是什么话？""邢夫人笑道：“那里有什么话，不过是叫你等着，同你姊妹们吃了饭去.还有一个好玩的东西给你带回去玩。
",neutral
"管家在那里？""底下站的小厮们见问，都一齐喝声说：“叫管家！""登时林之孝一整理着帽子跑了来，到贾珍跟前.贾珍道：“虽说这里地方大，今儿不承望来这么些人.你使的人，你就带了往你的那院里去，使不着的，打发到那院里去.把小幺儿们多挑几个在这二层门上同两边的角门上，伺候着要东西传话.你可知道不知道，今儿小姐奶奶们都出来，一个闲人也到不了这里。
",neutral
"你作什么也来了？谁叫你来的？""贾芹垂回说：“听见大爷这里叫我们领东西，我没等人去就来了。
",angry
"恕我老了，骨头疼，放肆，容我歪着相陪罢。
",sad
"放在当地罢。
",neutral
"我为你们领月钱不能进城，又只得在这里歇着。怪冷的，怎么样？我今儿带些果子酒，大家吃着乐一夜好不好？
",happy
"快散了罢，府里赖大爷来了。
",neutral
"衙门里今夜该班是张老爷，因张老爷病了，有知会来请老爷补一班。
",neutral
"不知道娘娘宫里即刻传那些孩子们做什么，叫侄儿好赶。幸喜侄儿今儿送月钱去还没有走，便同着赖大来了。二叔想来是知道的。
",neutral
"这芹大爷本来闹的不像了。奴才今儿到庵里的时候，他们正在那里喝酒呢。帖儿上的话是一定有的。
",angry
