"三妹，我来试试。
",neutral
"此人好生了得，似乎是全真派的武功，却又颇有不同。
",neutral
"三妹，你瞧仔细了。我拍她臂儒穴，她定要斜退相避，我跟着拿她巨骨穴，她不得不举刀反砍。这时出手要快，就能夺下她的兵刃。
",neutral
"呸，也没这般容易。
",angry
"巨骨穴
",neutral
"她也没了兵刃，你再跟她试试，胆子大些，留心她的掌中腿。
",neutral
"好端端的，何必自寻短见
",angry
"我三次报仇不成，自怨本领不济，那也罢了。我要自尽，又干你何事
",angry
"这女子始终纠缠不清，她武艺不弱，我总不能寸步不离爹爹，若有失闪，如何是好嗯，不如用言语相迫，教她只能来找我。
",sad
"嘿嘿，完颜家的女子好没志气
",angry
"我武功高于你，那不错，可这又有甚么希罕只因我曾遇明师指点，并非我自己真有甚么过人之处。你所学的铁掌功夫，本来也是当世一门了不起的武功，只是教你的那位师父所学未精，你练的时日又浅，难以克敌致胜，原是理所当然。年纪轻轻，只要苦心去另寻明师，难道就找不着了
",sad
"我每次跟你动手，只用右手，非是我傲慢无理。只因我左手力大，出手往往便要伤人。这样罢，待你再从明师之后，随时可来找我，只要逼得我使用左手，我引颈就戮，决无怨言。
",neutral
"你又不是神仙，我痛下苦功，难道两只手当真便胜不了你单手
",angry
"二哥，你怎么又放了她走
",angry
"你既要她作我嫂子，就不该放她啊。
",angry
"耶律齐大言不惭，自以为只用右手就算本领了得，其实要夺人之刀，点人穴道，一只手也不用又有何难
",neutral
"我教你三招武功，就能逼那耶律齐双手齐用。现下我先和你试试，我既不用手，又不使脚，跟你过几招如何
",neutral
"你掌法凌厉，好过刀法。耶律齐说这是铁掌功夫，是不是
",neutral
"她好生感激那耶律齐以礼相待，难道我就不如他了哼，我偏要处处都胜过他。
",happy
"求师父指点，小女子得报父母深仇，永感大德。
",happy
"唉，待得我学到能杀他的本事，那耶律老儿怎能还在世上我父母之仇，终究是报不了的啦。
",sad
"第二招，是你刚才使用过两次的枯藤缠树。
",neutral
"完颜萍求见耶律齐耶律公子。
",neutral
"一刀夹双掌
",neutral
"耶律齐，她要骗你使用左手，可须小心了。
",neutral
"云横秦岭
",neutral
"定须救她但她是在骗我用左手，我一使上左手，这条命就是交给她了。大丈夫死则死耳，岂能见死不救
",sad
"你已迫得了我用左手，你杀我便是，但有一事相求。
",sad
"两位请看手背。
",neutral
"三妹，你快走，这女人好生厉害。
",neutral
"耶律兄，你我一起出手救人如何
",happy
"这位兄台高姓大名
",neutral
"师伯、师姊
",happy
"我师父请问师伯安好。
",happy
"至阳
",neutral
"后辈之中竟有这许多好手
",surprise
"他果然是全真派的，难道是刘处玄的弟子料得郝大通也教不出这样的好手来。
",surprise
"尊师是马钰，还是丘处机
",neutral
"不会的罢重阳真人谢世已久，这位兄台哪能是他弟子
",surprise
"定阳针
",neutral
"这小子果是极精纯的全真武功，虽然不及丘王刘诸子，却也不输于孙不二。全真门下当真是人才辈出。
",happy
"好俊功夫
",happy
"贼贱人，今生今世我再不认你做师伯。
",angry
"不好。
",sad
"这是哪一家哪一派的兵刃
",neutral
"耶律兄，这里手脚施展不开，咱们下楼打罢。
",neutral
"亲亲媳妇儿，亲亲好妹子，走得越快越好。耶律师妹、青衫姑娘，你们快走罢，咱两个男子汉死不了。
",happy
"不用半个时辰，便可尽取这批小鬼的性命。
",neutral
"杨兄，咱们再上，四面夹击，瞧她怎地
",angry
"这马怎地如此快法
",surprise
"杨兄呢
",neutral
"你妈妈越是骂得凶，你自是越加对我好。老太婆的唠叨是耳边风，美人的柔情却是心上事。
",happy
"妈，这位是耶律齐耶律大哥。
",surprise
"我的功夫是哥哥教的。
",neutral
"全真七子哪里来这个怪规矩了这少年武功人才两臻佳妙，为甚么说不得
",angry
"去年和他初会，事过后也便忘了，哪知这人的武功竟如此了得。妈妈和他相对大笑，却又不知笑些甚么
",happy
"武氏父子既去，那三个年轻人多半也会随去，凭空多了几个强助，岂不是妙
",neutral
"师父，弟子磕头，您老人家万福金安。
",happy
"是敌人来了当真妙不可言，来来来，咱们下去杀他个落花流水。
",happy
"郭伯母你在这儿留守，小侄随武伯父一同前往。
",neutral
"你识水性么
",neutral
"若非得她引路，焉能想到这溪底居然别有天地
",surprise
"此处已是古墓中心，咱们少憩片刻，这便找杨过去。
",neutral
"我双手各有一把冰魄银针，你们三个姓武的，怎不过来尝尝滋味
",angry
"咦
",neutral
"不好
",angry
"怎么办咱们不是要活活的闷死在这儿么
",angry
"我
",neutral
"你听，甚么声音
",neutral
"若不是小郭姑娘饿了大哭，只怕咱们都要死在那间石室里了。
",sad
"哼，咱们这儿五个人，刚好有五口棺材
",neutral
"即以其人之道，还治其人之身
",neutral
"啊哟
",surprise
"我妹子给他抢去啦。
",angry
"有鬼
",neutral
"武叔叔，你在这里，我在那边。僵尸若是出来，咱们四掌齐施，打他个筋折骨断。
",neutral
"不好
",angry
"嘿嘿
",happy
"李莫愁
",neutral
"妈，妈
",happy
"李莫愁，你今日恶贯满盈，不必多费口舌、徒自强辩了。
",neutral
"难道郭靖也来了吗妙极，妙极
",happy
"郭姑娘，别跟她多说了。
",fear
"狗咬吕洞宾，将来有得苦头给你吃的。
",angry
"你也疑心我不是爹爹、妈妈的亲生女儿
",angry
"他自然疑心啊，否则何以要你快走
",surprise
"不把你另一只脚也斩跛了，我不姓郭。
",angry
"我劝你们别吵，自己怎会也来争吵耶律兄，你也来劝劝郭姑娘罢
",angry
"喂，这位姑娘，你把我的兵刃踏在地下干么
",angry
"你说她武功好吗
",surprise
"我劝你不可轻敌，要你留神，那是帮你呢。
",happy
"啊哟，快瞧瞧去。
",happy
"莫非芙儿终究还是为掌力所伤
",sad
"妈妈
",happy
"快弄死这孩儿
",angry
"啊哟，小孩儿给这和尚弄死了。
",angry
"妈，我还道你当真发了疯呢
",angry
"这里除了黄蓉母女三人，其余的我可不究擅自闯谷之罪，一齐给我走罢
",neutral
