"师父，弟子有眼无珠，不认得师父的尊容，多有冲撞，万望恕罪。
",happy
"师父啊，绷杀我了！救我一救！下次再不敢了！
",fear
"想是调问哩。
",neutral
"和尚，你一行有几个？终不然一人敢上西天？
",angry
"大王，不好了！那长嘴大耳的和尚，与那晦气脸的和尚，又来把门都打破了！
",angry
"郎君有何事这等烦恼？
",angry
"沙和尚！你两个辄敢擅打上我们门来，可是这女子有书到他那国，国王教你们来的？
",angry
"浑家，你且在家吃酒，看着两个孩儿，不要放了沙和尚。趁那唐僧在那国里，我也赶早儿去认认亲也。
",neutral
"那汉子，我与你没甚相干，怎么把我儿子拿去？他老子利害，有些差错，决不与你干休！
",angry
"猪八戒便也罢了，沙和尚是我绑在家里，他怎么得出来？我的浑家怎么肯放他？我的孩儿，怎么得到他手？这怕是猪八戒不得我出去与他交战，故将此计来羁我。我若认了这个泛头，就与他打啊。噫！我却还害酒哩！假若被他筑上一钯，却不灭了这个威风，识破了那个关窍。且等我回家看看，是我的儿子不是我的儿子，再与他说话不迟。
",angry
"浑家，你有何事，这般烦恼？
",angry
"呀！浑家，你怎么拿出这一副嘴脸来耶？
",angry
"沙和尚，歇下担子，拿出行李来，我两个分了罢！
",neutral
"你罢软的老和尚，捉掐的弼马温，面弱的沙和尚！他都在那里自在，捉弄我老猪来跄路！大家取经，都要望成正果，偏是教我来巡甚么山！哈哈哈！晓得有妖怪，躲着些儿走。还不彀一半，却教我去寻他，这等晦气哩！我往那里睡觉去，睡一觉回去，含含糊糊的答应他，只说是巡了山，就了其帐也。
",angry
"兄弟，我们多少时不巡山了？
",angry
"那来的甚么人？
",surprise
"也罢，也罢。我还走得路，将马让与你骑一程，到你上宫，还我马去罢。
",sad
"拿来我看。
",neutral
"妖魔那里去了？
",surprise
"沙和尚，你出去看你师兄胜负如何。
",neutral
"师父。
",neutral
"你就慢说些儿，却不稳住他了？如今他驾云逃走，却往何处追寻？
",angry
"我要再去，当面打他，他却有些怕我，只恐他又走了。等我老孙跳高些，与他个捣蒜打，结果了他罢。
",neutral
"这泼怪不知在那里，只管叫阿叫的。等我老孙送他一个卯酉星法，教他两不见面。
",neutral
"哥哥，这等一个小孩子家，你只管盘诘他怎的！他说得是，强盗只打劫他些浮财，莫成连房屋田产也劫得去？若与他亲戚们说了，我们纵有广大食肠，也吃不了他十亩田价。救他下来罢。
",angry
"变！
",neutral
"兄弟们放心，再不须思念，师父决不伤生，妖精与老孙有亲。
",happy
"兄弟，你笑怎么？你好道有甚手段，擒得那妖魔，破得那火阵？这桩事，也是大家有益的事。常言道，众毛攒毬。你若拿得妖魔，救了师父，也是你的一件大功绩。
",happy
"师兄，可惜了你，亿万年不老长生客，如今化作个中途短命人！
",sad
"大表兄，小弟在此拱候，有请。
",neutral
"你这厮不遵旨令，你舅爷原着你在此居住，教你养性存身，待你名成之日，别有迁用。你怎么强占水神之宅，倚势行凶，欺心诳上，弄玄虚，骗我师父、师弟？我待要打你这一棒，奈何老孙这棒子甚重，略打打儿就了了性命。你将我师父安在何处哩？
",angry
"多蒙大圣复得水府之恩！
",happy
"哥哥，你还不曾睡哩？
",angry
"没有歹人，如何把供献都吃了？
",angry
"哥啊，我把你做这几年兄弟，只这些儿不曾弄我。我才吃了些东西，道要干这个事儿哩。
",angry
"徒弟孙悟空：
",neutral
"师父，不是这般祝了。沙和尚，你替我奠浆饭，等我祷。
",neutral
"不消赶他了，这怪想是河中之物。且待明日设法拿他，送我师父过河。
",neutral
"师父何在？
",sad
"那怪物休得浪言！古人云，口说无凭，做出便见。不要走！且吃我一杖！
",angry
"你是摆渡的？
",angry
"沙和尚。
",neutral
"你是甚人，敢来取水！
",angry
"怎的说？
",neutral
"大哥，那妈妈来得近了，等我问他个信儿，看这个是甚妖精，是甚兵器，这般伤人。
",neutral
"兄弟，你赶他怎的？让他慢慢走罢了。
",angry
"那个是那杨老儿的儿子？
",surprise
"我老沙行不更名，坐不改姓，那里又有一个沙和尚！不要无礼！吃我一杖！
",angry
"沙悟净，你不保唐僧取经，却来此何干？
",angry
"大哥不必这等藏头露尾，先去安根，待小弟与你一同走。
",neutral
"你是何等妖邪，敢变我的相貌，敢占我的儿孙，擅居吾仙洞，擅作这威福！
",angry
"唐僧，前日打你的，乃假行者六耳猕猴也，幸如来知识，已被悟空打死。你今须是收留悟空，一路上魔障未消，须得他保护你，才得到灵山，见佛取经，再休嗔怪。
",happy
"圣僧尊号？
",surprise
"唐僧，你自东土来拜见我佛，怎么还这等怠慢？
",angry
"徒弟啊，天色晚矣，往那条路上求宿去？
",neutral
"不要撞祸！低着头走！
",happy
"八戒，你怎么这等狼狈？悟空如何不见？
",angry
"三贤弟有力量，有智谋，果成妙计，拿将唐僧来了！
",happy
"扯住唐朝爷爷，到我家奉谢救儿之恩！
",happy
"徒弟。
",neutral
"沙和尚，快拿将行李来，我们分了罢！
",neutral
"徒弟，外面兵器响哩。
",neutral
"师父出来，师兄何在？
",sad
"你这两个呆子！看着师父罢了，谁要你来帮甚么功！
",angry
"马是我的！拿过来！
",angry
"你又哭又笑，何也？
",sad
"大王莫恼莫怕。常言道：事从缓来。若是要吃唐僧，等我定个计策拿他。
",neutral
"先锋！
",happy
"哥哥，你喊怎的？
",angry
"大圣爷爷，息怒容禀。
",happy
"难，难，难！难，难，难！
",angry
"哥哥，且莫哭。天气不是好天气，恐一时弄臭了。等我拿将去，乘生气埋下再哭。
",sad
"大王万千之喜！
",happy
"贤徒，亏你救了他与我命！悟能、悟净都在何处？
",happy
"原来是他。我贤孙，你错惹了他也！
",angry
"偷宝贝的贼怪！你去那里伙这几个毛团来此怎的？
",angry
"此又是甚么处所？
",neutral
"第三位高徒，因甚皈依？
",neutral
"儿啊，不须哭了。你老子今日也斋僧，明日也斋僧，岂知今日做圆满，斋着那一伙送命的僧也！
",angry
