"原来道兄是玉阳真人门下。王真人确于在下有莫大恩惠，若是也在山上，当真再好不过。
",neutral
"在下江南郭靖，来到宝山实无歹意，各位须得如何，方能见信
",neutral
"在下要上山了，各位若是阻拦，莫怪无礼。
",happy
"大胆贼子，竟敢到重阳宫来撒野
",angry
"此人一到，我教无忧矣
",happy
"郭兄留神
",neutral
"这位不是祖师爷了罢我瞧不用磕头啦。
",surprise
"小杂种，你要害死道爷
",angry
"弟子该死。
",angry
"小小你笑甚么
",happy
"过儿，你在这儿别走开。
",neutral
"长生真人与清净散人从山西传来讯息，说道该处之事极为棘手。本座和两位师弟会商决定，长春真人和玉阳真人带同十名弟子，即日前去应援。
",neutral
"你想杀我灭口么只怕没这等容易。
",angry
"我是王重阳的弟子。
",neutral
"丘处机与王处一眼界太低，尽收些不成器的弟子罢了，罢了，谁要你们磕头
",angry
"玉女心经
",neutral
"快送兵刃
",happy
"我重阳宫清修之地，今日各位来此骚扰，却是为何
",angry
"杨过虽与我教为敌，但大丈夫光明磊落，是输是赢，当凭真本事取决。终南山岂容好徒猖狂
",happy
"先师以大智慧、大定力出家创教，他老人家一番苦心孤诣，岂是你后生小子所能窥测你再在此大胆妄为，胡言乱语，可莫怪我剑下无情了。
",angry
"丘师哥，怎么办
",fear
"乖乖不得了
",happy
"起
",neutral
"师叔，赵志敬不知怎么得罪了您老人家弟子定当重重责罚。
",angry
"周师叔行事胡涂，这事未必便是志敬之错，回头再行详细查问。
",angry
"志平玷人清白，确是大错，但他维护我教忠义，誓死不降蒙古，实是大功一件。
",neutral
"师叔既不肯交出，只有待他背人取出玩弄之时，突然上前开口，叫他无法推托。只要大伙儿一走开，他定然熬不住，立时便会取出。
",neutral
"这逆徒卖教求荣，戕害同门，决计饶他不得。
",angry
